precision,recall,threshold
0.5,1.0,0.00595
0.50125,1.0,0.00984
0.50251,1.0,0.01137
0.50378,1.0,0.01609
0.50505,1.0,0.0232
0.50633,1.0,0.1012
0.50761,1.0,0.17981
0.50891,1.0,0.20304
0.50765,0.995,0.21426
0.50895,0.995,0.36696
0.51026,0.995,0.37475
0.509,0.99,0.38711
0.51031,0.99,0.4334
0.51163,0.99,0.51534
0.51295,0.99,0.54175
0.51429,0.99,0.62884
0.51562,0.99,0.67828
0.51697,0.99,0.70032
0.51571,0.985,0.75041
0.51706,0.985,0.84705
0.51842,0.985,0.85454
0.51979,0.985,0.858
0.51852,0.98,0.87004
0.51989,0.98,0.87199
0.52128,0.98,0.88782
0.52267,0.98,0.90525
0.52139,0.975,0.90572
0.52279,0.975,0.91393
0.52151,0.97,0.92713
0.52291,0.97,0.93184
0.52432,0.97,0.93531
0.52575,0.97,0.93912
0.52717,0.97,0.94497
0.52589,0.965,0.94559
0.52732,0.965,0.94726
0.52877,0.965,0.95266
0.53022,0.965,0.95466
0.53168,0.965,0.95749
0.53039,0.96,0.95833
0.53186,0.96,0.96635
0.53333,0.96,0.96819
0.53482,0.96,0.96944
0.53352,0.955,0.97191
0.53501,0.955,0.97518
0.53371,0.95,0.97565
0.53521,0.95,0.97616
0.5339,0.945,0.97629
0.53258,0.94,0.97865
0.53125,0.935,0.97909
0.53276,0.935,0.97918
0.53429,0.935,0.97976
0.53295,0.93,0.98016
0.53161,0.925,0.98202
0.53314,0.925,0.98433
0.53468,0.925,0.98479
0.53333,0.92,0.98545
0.53488,0.92,0.98585
0.53353,0.915,0.9862
0.53509,0.915,0.98761
0.53372,0.91,0.98806
0.53529,0.91,0.98859
0.53687,0.91,0.9888
0.5355,0.905,0.98967
0.53709,0.905,0.99042
0.53869,0.905,0.99076
0.53731,0.9,0.99081
0.53593,0.895,0.99135
0.53754,0.895,0.9915
0.53916,0.895,0.99155
0.53776,0.89,0.9926
0.53636,0.885,0.99279
0.53799,0.885,0.99284
0.53659,0.88,0.99289
0.53823,0.88,0.99298
0.53681,0.875,0.9932
0.53846,0.875,0.99327
0.54012,0.875,0.99375
0.5418,0.875,0.99433
0.54348,0.875,0.99442
0.54206,0.87,0.99461
0.54062,0.865,0.99478
0.53918,0.86,0.99478
0.53774,0.855,0.9948
0.53628,0.85,0.9948
0.53481,0.845,0.99493
0.53333,0.84,0.99509
0.53503,0.84,0.99514
0.53355,0.835,0.99517
0.53526,0.835,0.99524
0.53376,0.83,0.99528
0.53548,0.83,0.99568
0.53398,0.825,0.9957
0.53247,0.82,0.99583
0.5342,0.82,0.99596
0.53595,0.82,0.99613
0.53443,0.815,0.99618
0.53618,0.815,0.99625
0.53795,0.815,0.99625
0.53974,0.815,0.99627
0.53821,0.81,0.99631
0.53667,0.805,0.99631
0.53512,0.8,0.99644
0.53356,0.795,0.99645
0.53199,0.79,0.99654
0.53378,0.79,0.99671
0.5322,0.785,0.99679
0.53061,0.78,0.99681
0.52901,0.775,0.99688
0.5274,0.77,0.99691
0.52921,0.77,0.99692
0.53103,0.77,0.99694
0.53287,0.77,0.99694
0.53125,0.765,0.99703
0.5331,0.765,0.99704
0.53497,0.765,0.99706
0.53684,0.765,0.99708
0.53873,0.765,0.99723
0.5371,0.76,0.99729
0.53546,0.755,0.99734
0.53737,0.755,0.99735
0.53929,0.755,0.99738
0.53763,0.75,0.9974
0.53957,0.75,0.9974
0.54152,0.75,0.99742
0.54348,0.75,0.99751
0.54545,0.75,0.99757
0.5438,0.745,0.9976
0.54212,0.74,0.99762
0.54044,0.735,0.99762
0.53875,0.73,0.99763
0.54074,0.73,0.99763
0.54275,0.73,0.99765
0.54104,0.725,0.99765
0.53933,0.72,0.99768
0.53759,0.715,0.9977
0.53585,0.71,0.99778
0.53788,0.71,0.99786
0.53612,0.705,0.99786
0.53435,0.7,0.99788
0.53257,0.695,0.99788
0.53462,0.695,0.99789
0.53668,0.695,0.99789
0.53488,0.69,0.99795
0.53307,0.685,0.99799
0.53516,0.685,0.99801
0.53333,0.68,0.99801
0.53543,0.68,0.99806
0.5336,0.675,0.99806
0.53175,0.67,0.99806
0.52988,0.665,0.99813
0.532,0.665,0.99817
0.53012,0.66,0.99819
0.53226,0.66,0.99821
0.53036,0.655,0.99823
0.53252,0.655,0.99823
0.53061,0.65,0.99824
0.52869,0.645,0.99825
0.52675,0.64,0.99825
0.52479,0.635,0.99826
0.52282,0.63,0.99828
0.525,0.63,0.99829
0.52301,0.625,0.99831
0.52101,0.62,0.99833
0.52321,0.62,0.99835
0.52119,0.615,0.99835
0.51915,0.61,0.99837
0.51709,0.605,0.99838
0.51931,0.605,0.99841
0.51724,0.6,0.99853
0.51948,0.6,0.99854
0.51739,0.595,0.99854
0.51965,0.595,0.99856
0.52193,0.595,0.99856
0.52423,0.595,0.99859
0.52655,0.595,0.9986
0.52889,0.595,0.99863
0.52679,0.59,0.99863
0.52915,0.59,0.99864
0.52703,0.585,0.99864
0.52489,0.58,0.99867
0.52273,0.575,0.99867
0.52511,0.575,0.99869
0.52294,0.57,0.99869
0.52074,0.565,0.99869
0.51852,0.56,0.99872
0.51628,0.555,0.99873
0.51402,0.55,0.99873
0.51174,0.545,0.99873
0.50943,0.54,0.99874
0.51185,0.54,0.99874
0.50952,0.535,0.99876
0.51196,0.535,0.99877
0.51442,0.535,0.99877
0.51208,0.53,0.99878
0.51456,0.53,0.99879
0.51707,0.53,0.99879
0.51471,0.525,0.99879
0.51724,0.525,0.99879
0.5198,0.525,0.9988
0.52239,0.525,0.9988
0.525,0.525,0.99881
0.52261,0.52,0.99882
0.52525,0.52,0.99882
0.52284,0.515,0.99884
0.52041,0.51,0.99885
0.51795,0.505,0.99885
0.52062,0.505,0.99886
0.52332,0.505,0.99887
0.52083,0.5,0.99888
0.51832,0.495,0.99888
0.52105,0.495,0.99888
0.51852,0.49,0.99889
0.51596,0.485,0.9989
0.51872,0.485,0.99892
0.51613,0.48,0.99894
0.51892,0.48,0.99896
0.52174,0.48,0.99898
0.51913,0.475,0.99902
0.51648,0.47,0.99902
0.51934,0.47,0.99902
0.51667,0.465,0.99904
0.51397,0.46,0.99905
0.51124,0.455,0.99906
0.50847,0.45,0.99907
0.51136,0.45,0.9991
0.51429,0.45,0.9991
0.51149,0.445,0.9991
0.51445,0.445,0.99911
0.51163,0.44,0.99911
0.50877,0.435,0.99912
0.50588,0.43,0.99912
0.50296,0.425,0.99912
0.5,0.42,0.99913
0.49701,0.415,0.99913
0.5,0.415,0.99914
0.50303,0.415,0.99914
0.5061,0.415,0.99915
0.50307,0.41,0.99917
0.5,0.405,0.99918
0.50311,0.405,0.9992
0.50625,0.405,0.99922
0.50943,0.405,0.99923
0.51266,0.405,0.99923
0.50955,0.4,0.99923
0.50641,0.395,0.99926
0.50323,0.39,0.99927
0.50649,0.39,0.99928
0.50327,0.385,0.99928
0.50658,0.385,0.9993
0.50993,0.385,0.9993
0.50667,0.38,0.9993
0.50336,0.375,0.9993
0.5,0.37,0.99931
0.4966,0.365,0.99931
0.5,0.365,0.99931
0.49655,0.36,0.99931
0.49306,0.355,0.99931
0.4965,0.355,0.99932
0.5,0.355,0.99932
0.49645,0.35,0.99933
0.49286,0.345,0.99934
0.48921,0.34,0.99934
0.49275,0.34,0.99934
0.49635,0.34,0.99934
0.5,0.34,0.99935
0.4963,0.335,0.99935
0.49254,0.33,0.99936
0.49624,0.33,0.99937
0.49242,0.325,0.99939
0.49618,0.325,0.99939
0.49231,0.32,0.9994
0.48837,0.315,0.9994
0.49219,0.315,0.99941
0.49606,0.315,0.99941
0.49206,0.31,0.99941
0.496,0.31,0.99941
0.49194,0.305,0.99942
0.49593,0.305,0.99942
0.4918,0.3,0.99943
0.49587,0.3,0.99945
0.49167,0.295,0.99945
0.48739,0.29,0.99945
0.49153,0.29,0.99945
0.49573,0.29,0.99945
0.5,0.29,0.99945
0.50435,0.29,0.99946
0.5,0.285,0.99947
0.50442,0.285,0.99948
0.5,0.28,0.99948
0.5045,0.28,0.99948
0.5,0.275,0.99949
0.49541,0.27,0.9995
0.49074,0.265,0.9995
0.48598,0.26,0.9995
0.48113,0.255,0.99951
0.48571,0.255,0.99951
0.49038,0.255,0.99951
0.49515,0.255,0.99952
0.5,0.255,0.99952
0.49505,0.25,0.99952
0.49,0.245,0.99953
0.49495,0.245,0.99953
0.4898,0.24,0.99956
0.48454,0.235,0.99956
0.48958,0.235,0.99956
0.48421,0.23,0.99956
0.48936,0.23,0.99956
0.48387,0.225,0.99958
0.48913,0.225,0.99958
0.49451,0.225,0.99959
0.48889,0.22,0.99959
0.49438,0.22,0.9996
0.5,0.22,0.9996
0.49425,0.215,0.99961
0.5,0.215,0.99961
0.49412,0.21,0.99961
0.5,0.21,0.99961
0.49398,0.205,0.99962
0.5,0.205,0.99962
0.50617,0.205,0.99962
0.5,0.2,0.99963
0.50633,0.2,0.99963
0.51282,0.2,0.99963
0.51948,0.2,0.99964
0.52632,0.2,0.99964
0.53333,0.2,0.99964
0.54054,0.2,0.99965
0.53425,0.195,0.99965
0.54167,0.195,0.99965
0.53521,0.19,0.99966
0.52857,0.185,0.99966
0.52174,0.18,0.99966
0.52941,0.18,0.99966
0.53731,0.18,0.99966
0.54545,0.18,0.99967
0.55385,0.18,0.99967
0.5625,0.18,0.99968
0.55556,0.175,0.99968
0.54839,0.17,0.99968
0.55738,0.17,0.99968
0.55,0.165,0.99969
0.55932,0.165,0.99969
0.55172,0.16,0.99969
0.54386,0.155,0.99969
0.53571,0.15,0.99969
0.54545,0.15,0.9997
0.53704,0.145,0.9997
0.54717,0.145,0.9997
0.55769,0.145,0.99971
0.54902,0.14,0.99972
0.54,0.135,0.99972
0.55102,0.135,0.99973
0.54167,0.13,0.99973
0.55319,0.13,0.99974
0.56522,0.13,0.99974
0.55556,0.125,0.99975
0.54545,0.12,0.99975
0.53488,0.115,0.99976
0.52381,0.11,0.99976
0.53659,0.11,0.99976
0.525,0.105,0.99977
0.53846,0.105,0.99977
0.52632,0.1,0.99977
0.54054,0.1,0.99978
0.55556,0.1,0.99978
0.57143,0.1,0.99978
0.55882,0.095,0.99978
0.57576,0.095,0.99979
0.59375,0.095,0.9998
0.6129,0.095,0.9998
0.63333,0.095,0.9998
0.62069,0.09,0.99981
0.60714,0.085,0.99981
0.62963,0.085,0.99982
0.65385,0.085,0.99982
0.64,0.08,0.99983
0.66667,0.08,0.99983
0.69565,0.08,0.99983
0.68182,0.075,0.99983
0.66667,0.07,0.99983
0.7,0.07,0.99983
0.68421,0.065,0.99984
0.66667,0.06,0.99984
0.70588,0.06,0.99984
0.6875,0.055,0.99984
0.73333,0.055,0.99985
0.71429,0.05,0.99985
0.76923,0.05,0.99985
0.75,0.045,0.99986
0.72727,0.04,0.99986
0.7,0.035,0.99987
0.66667,0.03,0.99987
0.625,0.025,0.99988
0.57143,0.02,0.99989
0.5,0.015,0.99989
0.4,0.01,0.9999
0.5,0.01,0.9999
0.66667,0.01,0.99991
1.0,0.01,0.99992
1.0,0.005,0.99992
1.0,0.0,1.0
