pair_id,pass,latency_ms
e1-q055-gt,1,877.241
e1-q055-hal,1,672.18
e1-q056-gt,1,336.714
e1-q056-hal,1,262.626
e1-q057-gt,1,521.414
e1-q057-hal,1,796.271
e1-q058-gt,1,643.41
e1-q058-hal,1,438.835
e1-q059-gt,1,154.049
e1-q059-hal,1,137.67
e1-q060-gt,1,1021.717
e1-q060-hal,1,728.333
e1-q061-gt,1,597.632
e1-q061-hal,1,288.749
e1-q062-gt,1,445.547
e1-q062-hal,1,405.425
e1-q063-gt,1,420.045
e1-q063-hal,1,445.647
e1-q064-gt,1,658.287
e1-q064-hal,1,705.083
e1-q065-gt,1,251.001
e1-q065-hal,1,266.868
e1-q066-gt,1,441.625
e1-q066-hal,1,207.118
e1-q067-gt,1,432.15
e1-q067-hal,1,214.181
e1-q068-gt,1,647.264
e1-q068-hal,1,228.537
e1-q069-gt,1,535.172
e1-q069-hal,1,805.74
e1-q070-gt,1,422.714
e1-q070-hal,1,206.241
e1-q071-gt,1,683.031
e1-q071-hal,1,371.172
e1-q072-gt,1,1095.039
e1-q072-hal,1,725.248
e1-q073-gt,1,263.801
e1-q073-hal,1,278.009
e1-q074-gt,1,585.066
e1-q074-hal,1,613.607
e1-q075-gt,1,120.748
e1-q075-hal,1,131.596
e1-q076-gt,1,237.454
e1-q076-hal,1,217.711
e1-q077-gt,1,1027.828
e1-q077-hal,1,270.187
e1-q078-gt,1,403.783
e1-q078-hal,1,625.546
e1-q079-gt,1,713.334
e1-q079-hal,1,445.407
e1-q080-gt,1,473.434
e1-q080-hal,1,195.392
e1-q081-gt,1,264.382
e1-q081-hal,1,305.278
e1-q082-gt,1,660.677
e1-q082-hal,1,236.128
e1-q083-gt,1,632.346
e1-q083-hal,1,216.484
e1-q084-gt,1,177.115
e1-q084-hal,1,314.057
e1-q085-gt,1,367.821
e1-q085-hal,1,174.538
e1-q086-gt,1,1155.765
e1-q086-hal,1,400.248
e1-q087-gt,1,694.581
e1-q087-hal,1,370.033
e1-q088-gt,1,522.479
e1-q088-hal,1,295.014
e1-q089-gt,1,842.527
e1-q089-hal,1,295.585
e1-q090-gt,1,698.43
e1-q090-hal,1,492.204
e1-q091-gt,1,227.285
e1-q091-hal,1,237.708
e1-q092-gt,1,338.226
e1-q092-hal,1,191.715
e1-q093-gt,1,540.5
e1-q093-hal,1,293.653
e1-q094-gt,1,503.621
e1-q094-hal,1,275.602
e1-q095-gt,1,486.492
e1-q095-hal,1,538.082
e1-q096-gt,1,490.255
e1-q096-hal,1,256.027
e1-q097-gt,1,476.635
e1-q097-hal,1,252.478
e1-q098-gt,1,413.861
e1-q098-hal,1,398.739
e1-q099-gt,1,352.834
e1-q099-hal,1,391.62
e1-q100-gt,1,422.905
e1-q100-hal,1,216.871
e1-q101-gt,1,426.238
e1-q101-hal,1,205.356
e1-q102-gt,1,280.77
e1-q102-hal,1,291.218
e1-q103-gt,1,1118.51
e1-q103-hal,1,716.426
e1-q104-gt,1,412.61
e1-q104-hal,1,196.397
e1-q105-gt,1,166.307
e1-q105-hal,1,187.75
e1-q106-gt,1,607.211
e1-q106-hal,1,300.632
e1-q107-gt,1,139.978
e1-q107-hal,1,148.986
e1-q108-gt,1,328.426
e1-q108-hal,1,275.151
e1-q109-gt,1,125.322
e1-q109-hal,1,142.679
e1-q110-gt,1,942.417
e1-q110-hal,1,354.433
e1-q111-gt,1,279.008
e1-q111-hal,1,245.573
e1-q112-gt,1,561.779
e1-q112-hal,1,299.194
e1-q113-gt,1,285.835
e1-q113-hal,1,245.599
e1-q114-gt,1,465.183
e1-q114-hal,1,235.712
e1-q115-gt,1,602.974
e1-q115-hal,1,311.69
e1-q116-gt,1,531.683
e1-q116-hal,1,254.804
e1-q117-gt,1,378.721
e1-q117-hal,1,198.448
e1-q118-gt,1,588.496
e1-q118-hal,1,292.492
e1-q119-gt,1,197.125
e1-q119-hal,1,189.242
e1-q120-gt,1,652.982
e1-q120-hal,1,247.975
e1-q121-gt,1,200.226
e1-q121-hal,1,209.019
e1-q122-gt,1,187.044
e1-q122-hal,1,160.606
e1-q123-gt,1,185.763
e1-q123-hal,1,198.615
e1-q124-gt,1,609.908
e1-q124-hal,1,424.873
e1-q125-gt,1,396.517
e1-q125-hal,1,219.038
e1-q126-gt,1,520.533
e1-q126-hal,1,517.642
e1-q127-gt,1,540.523
e1-q127-hal,1,276.381
e1-q128-gt,1,487.943
e1-q128-hal,1,177.175
e1-q129-gt,1,221.453
e1-q129-hal,1,224.737
e1-q130-gt,1,708.837
e1-q130-hal,1,395.019
e1-q131-gt,1,529.935
e1-q131-hal,1,163.472
e1-q132-gt,1,1327.337
e1-q132-hal,1,417.477
e1-q133-gt,1,360.132
e1-q133-hal,1,377.81
e1-q134-gt,1,156.811
e1-q134-hal,1,164.779
e1-q135-gt,1,174.431
e1-q135-hal,1,180.254
e1-q136-gt,1,416.407
e1-q136-hal,1,200.923
e1-q137-gt,1,676.747
e1-q137-hal,1,341.436
e1-q138-gt,1,209.226
e1-q138-hal,1,211.418
e1-q139-gt,1,223.592
e1-q139-hal,1,201.981
e1-q140-gt,1,795.422
e1-q140-hal,1,552.001
e1-q141-gt,1,511.821
e1-q141-hal,1,256.152
e1-q142-gt,1,1694.268
e1-q142-hal,1,1192.348
e1-q143-gt,1,326.119
e1-q143-hal,1,294.857
e1-q144-gt,1,524.654
e1-q144-hal,1,271.475
e1-q145-gt,1,911.038
e1-q145-hal,1,294.954
e1-q146-gt,1,492.395
e1-q146-hal,1,467.928
e1-q147-gt,1,303.135
e1-q147-hal,1,303.216
e1-q148-gt,1,1036.102
e1-q148-hal,1,757.741
e1-q149-gt,1,591.08
e1-q149-hal,1,314.26
e1-q150-gt,1,210.55
e1-q150-hal,1,213.82
e1-q151-gt,1,570.81
e1-q151-hal,1,614.583
e1-q152-gt,1,213.719
e1-q152-hal,1,127.279
e1-q153-gt,1,638.725
e1-q153-hal,1,440.343
e1-q154-gt,1,448.611
e1-q154-hal,1,158.73
e1-q155-gt,1,1294.858
e1-q155-hal,1,360.076
e1-q156-gt,1,964.672
e1-q156-hal,1,331.865
e1-q157-gt,1,441.192
e1-q157-hal,1,230.024
e1-q158-gt,1,745.933
e1-q158-hal,1,731.377
e1-q159-gt,1,277.221
e1-q159-hal,1,249.737
e1-q160-gt,1,422.316
e1-q160-hal,1,412.288
e1-q161-gt,1,469.101
e1-q161-hal,1,528.457
e1-q162-gt,1,363.039
e1-q162-hal,1,182.13
e1-q163-gt,1,639.041
e1-q163-hal,1,182.852
e1-q164-gt,1,296.245
e1-q164-hal,1,565.327
e1-q165-gt,1,447.56
e1-q165-hal,1,241.383
e1-q166-gt,1,213.176
e1-q166-hal,1,214.428
e1-q167-gt,1,148.113
e1-q167-hal,1,153.844
e1-q168-gt,1,572.908
e1-q168-hal,1,291.497
e1-q169-gt,1,708.209
e1-q169-hal,1,1186.329
e1-q170-gt,1,894.968
e1-q170-hal,1,234.814
e1-q171-gt,1,411.925
e1-q171-hal,1,200.343
e1-q172-gt,1,382.173
e1-q172-hal,1,202.435
e1-q173-gt,1,248.449
e1-q173-hal,1,229.785
e1-q174-gt,1,385.169
e1-q174-hal,1,209.786
e1-q175-gt,1,447.031
e1-q175-hal,1,232.556
e1-q176-gt,1,802.379
e1-q176-hal,1,382.695
e1-q177-gt,1,701.64
e1-q177-hal,1,215.351
e1-q178-gt,1,469.899
e1-q178-hal,1,240.294
e1-q179-gt,1,529.665
e1-q179-hal,1,288.158
e1-q180-gt,1,449.817
e1-q180-hal,1,1499.048
e1-q181-gt,1,249.75
e1-q181-hal,1,342.686
e1-q182-gt,1,1063.408
e1-q182-hal,1,976.062
e1-q183-gt,1,325.547
e1-q183-hal,1,297.795
e1-q184-gt,1,179.874
e1-q184-hal,1,182.333
e1-q185-gt,1,216.753
e1-q185-hal,1,426.878
e1-q186-gt,1,963.669
e1-q186-hal,1,337.967
e1-q187-gt,1,614.715
e1-q187-hal,1,291.907
e1-q188-gt,1,339.574
e1-q188-hal,1,362.451
e1-q189-gt,1,372.524
e1-q189-hal,1,198.157
e1-q190-gt,1,468.702
e1-q190-hal,1,227.597
e1-q191-gt,1,174.452
e1-q191-hal,1,170.966
e1-q192-gt,1,726.539
e1-q192-hal,1,510.193
e1-q193-gt,1,657.468
e1-q193-hal,1,448.994
e1-q194-gt,1,910.117
e1-q194-hal,1,324.479
e1-q195-gt,1,172.931
e1-q195-hal,1,351.888
e1-q196-gt,1,317.532
e1-q196-hal,1,140.441
e1-q197-gt,1,446.905
e1-q197-hal,1,241.422
e1-q198-gt,1,211.062
e1-q198-hal,1,185.378
e1-q199-gt,1,333.2
e1-q199-hal,1,339.093
e1-q200-gt,1,430.589
e1-q200-hal,1,214.771
e1-q201-gt,1,155.38
e1-q201-hal,1,183.931
e1-q202-gt,1,398.8
e1-q202-hal,1,180.587
e1-q203-gt,1,356.159
e1-q203-hal,1,319.173
e1-q204-gt,1,428.837
e1-q204-hal,1,138.193
e1-q205-gt,1,1042.342
e1-q205-hal,1,698.77
e1-q206-gt,1,281.003
e1-q206-hal,1,167.462
e1-q207-gt,1,347.788
e1-q207-hal,1,175.293
e1-q208-gt,1,382.121
e1-q208-hal,1,218.0
e1-q209-gt,1,338.481
e1-q209-hal,1,179.84
e1-q210-gt,1,539.369
e1-q210-hal,1,271.184
e1-q211-gt,1,1099.576
e1-q211-hal,1,559.632
e1-q212-gt,1,184.642
e1-q212-hal,1,165.425
e1-q213-gt,1,372.114
e1-q213-hal,1,748.247
e1-q214-gt,1,630.066
e1-q214-hal,1,438.971
e1-q215-gt,1,396.09
e1-q215-hal,1,198.286
e1-q216-gt,1,502.746
e1-q216-hal,1,128.012
e1-q217-gt,1,330.321
e1-q217-hal,1,301.819
e1-q218-gt,1,395.15
e1-q218-hal,1,213.613
e1-q219-gt,1,507.725
e1-q219-hal,1,260.106
e1-q220-gt,1,450.797
e1-q220-hal,1,220.928
e1-q221-gt,1,1236.656
e1-q221-hal,1,203.435
e1-q222-gt,1,426.264
e1-q222-hal,1,217.018
e1-q223-gt,1,331.837
e1-q223-hal,1,320.458
e1-q224-gt,1,208.204
e1-q224-hal,1,192.458
e1-q225-gt,1,208.055
e1-q225-hal,1,206.905
e1-q226-gt,1,335.458
e1-q226-hal,1,161.372
e1-q227-gt,1,716.533
e1-q227-hal,1,236.729
e1-q228-gt,1,450.627
e1-q228-hal,1,477.152
e1-q229-gt,1,262.528
e1-q229-hal,1,267.993
e1-q230-gt,1,351.376
e1-q230-hal,1,308.818
e1-q231-gt,1,174.735
e1-q231-hal,1,159.776
e1-q232-gt,1,1063.108
e1-q232-hal,1,547.265
e1-q233-gt,1,307.419
e1-q233-hal,1,301.043
e1-q234-gt,1,275.439
e1-q234-hal,1,310.255
e1-q235-gt,1,857.708
e1-q235-hal,1,885.533
e1-q236-gt,1,284.394
e1-q236-hal,1,286.294
e1-q237-gt,1,152.26
e1-q237-hal,1,156.544
e1-q238-gt,1,972.723
e1-q238-hal,1,332.254
e1-q239-gt,1,306.419
e1-q239-hal,1,303.329
e1-q240-gt,1,235.408
e1-q240-hal,1,236.216
e1-q241-gt,1,759.692
e1-q241-hal,1,251.582
e1-q242-gt,1,296.09
e1-q242-hal,1,272.045
e1-q243-gt,1,409.316
e1-q243-hal,1,205.811
e1-q244-gt,1,1555.61
e1-q244-hal,1,554.154
e1-q245-gt,1,511.345
e1-q245-hal,1,176.494
e1-q246-gt,1,381.678
e1-q246-hal,1,176.695
e1-q247-gt,1,344.463
e1-q247-hal,1,170.604
e1-q248-gt,1,272.476
e1-q248-hal,1,138.426
e1-q249-gt,1,769.623
e1-q249-hal,1,393.911
e1-q055-gt,2,915.035
e1-q055-hal,2,648.945
e1-q056-gt,2,248.46
e1-q056-hal,2,222.598
e1-q057-gt,2,521.314
e1-q057-hal,2,798.671
e1-q058-gt,2,639.379
e1-q058-hal,2,450.65
e1-q059-gt,2,144.684
e1-q059-hal,2,141.518
e1-q060-gt,2,1044.034
e1-q060-hal,2,678.282
e1-q061-gt,2,616.264
e1-q061-hal,2,303.858
e1-q062-gt,2,360.922
e1-q062-hal,2,371.513
e1-q063-gt,2,417.827
e1-q063-hal,2,434.443
e1-q064-gt,2,685.985
e1-q064-hal,2,710.392
e1-q065-gt,2,277.679
e1-q065-hal,2,281.904
e1-q066-gt,2,435.235
e1-q066-hal,2,218.126
e1-q067-gt,2,441.694
e1-q067-hal,2,235.984
e1-q068-gt,2,656.863
e1-q068-hal,2,231.284
e1-q069-gt,2,522.239
e1-q069-hal,2,827.309
e1-q070-gt,2,455.534
e1-q070-hal,2,221.646
e1-q071-gt,2,707.37
e1-q071-hal,2,380.614
e1-q072-gt,2,1089.027
e1-q072-hal,2,720.91
e1-q073-gt,2,270.356
e1-q073-hal,2,260.251
e1-q074-gt,2,592.335
e1-q074-hal,2,610.049
e1-q075-gt,2,148.911
e1-q075-hal,2,135.911
e1-q076-gt,2,242.684
e1-q076-hal,2,229.89
e1-q077-gt,2,1026.211
e1-q077-hal,2,295.045
e1-q078-gt,2,419.931
e1-q078-hal,2,652.109
e1-q079-gt,2,711.093
e1-q079-hal,2,379.907
e1-q080-gt,2,401.533
e1-q080-hal,2,199.617
e1-q081-gt,2,256.058
e1-q081-hal,2,244.562
e1-q082-gt,2,638.198
e1-q082-hal,2,243.367
e1-q083-gt,2,643.78
e1-q083-hal,2,215.824
e1-q084-gt,2,163.431
e1-q084-hal,2,315.747
e1-q085-gt,2,371.695
e1-q085-hal,2,198.115
e1-q086-gt,2,1140.957
e1-q086-hal,2,383.221
e1-q087-gt,2,695.946
e1-q087-hal,2,352.052
e1-q088-gt,2,534.733
e1-q088-hal,2,275.787
e1-q089-gt,2,900.209
e1-q089-hal,2,310.157
e1-q090-gt,2,791.968
e1-q090-hal,2,511.822
e1-q091-gt,2,246.329
e1-q091-hal,2,237.506
e1-q092-gt,2,318.795
e1-q092-hal,2,182.616
e1-q093-gt,2,572.645
e1-q093-hal,2,271.106
e1-q094-gt,2,530.737
e1-q094-hal,2,279.835
e1-q095-gt,2,500.334
e1-q095-hal,2,545.489
e1-q096-gt,2,478.58
e1-q096-hal,2,280.573
e1-q097-gt,2,617.984
e1-q097-hal,2,271.561
e1-q098-gt,2,418.333
e1-q098-hal,2,442.384
e1-q099-gt,2,344.087
e1-q099-hal,2,354.86
e1-q100-gt,2,429.54
e1-q100-hal,2,205.551
e1-q101-gt,2,399.325
e1-q101-hal,2,206.527
e1-q102-gt,2,313.657
e1-q102-hal,2,275.498
e1-q103-gt,2,1110.443
e1-q103-hal,2,903.636
e1-q104-gt,2,371.902
e1-q104-hal,2,223.112
e1-q105-gt,2,160.884
e1-q105-hal,2,186.481
e1-q106-gt,2,587.779
e1-q106-hal,2,304.029
e1-q107-gt,2,148.617
e1-q107-hal,2,148.517
e1-q108-gt,2,303.927
e1-q108-hal,2,310.611
e1-q109-gt,2,133.893
e1-q109-hal,2,131.43
e1-q110-gt,2,989.882
e1-q110-hal,2,328.02
e1-q111-gt,2,286.596
e1-q111-hal,2,260.677
e1-q112-gt,2,536.411
e1-q112-hal,2,411.593
e1-q113-gt,2,288.972
e1-q113-hal,2,227.907
e1-q114-gt,2,495.557
e1-q114-hal,2,225.951
e1-q115-gt,2,584.16
e1-q115-hal,2,307.858
e1-q116-gt,2,501.524
e1-q116-hal,2,281.925
e1-q117-gt,2,376.179
e1-q117-hal,2,194.626
e1-q118-gt,2,615.69
e1-q118-hal,2,291.637
e1-q119-gt,2,178.218
e1-q119-hal,2,195.226
e1-q120-gt,2,677.513
e1-q120-hal,2,234.498
e1-q121-gt,2,233.703
e1-q121-hal,2,190.22
e1-q122-gt,2,185.773
e1-q122-hal,2,185.398
e1-q123-gt,2,187.737
e1-q123-hal,2,201.277
e1-q124-gt,2,639.148
e1-q124-hal,2,439.061
e1-q125-gt,2,428.321
e1-q125-hal,2,217.627
e1-q126-gt,2,514.53
e1-q126-hal,2,519.856
e1-q127-gt,2,586.216
e1-q127-hal,2,277.735
