pair_id,pass,latency_ms
e1-q055-gt,1,4.006
e1-q055-hal,1,4.559
e1-q056-gt,1,2.224
e1-q056-hal,1,1.889
e1-q057-gt,1,2.828
e1-q057-hal,1,3.384
e1-q058-gt,1,5.354
e1-q058-hal,1,5.209
e1-q059-gt,1,2.317
e1-q059-hal,1,1.829
e1-q060-gt,1,3.544
e1-q060-hal,1,5.388
e1-q061-gt,1,3.812
e1-q061-hal,1,2.182
e1-q062-gt,1,2.701
e1-q062-hal,1,3.061
e1-q063-gt,1,3.965
e1-q063-hal,1,3.906
e1-q064-gt,1,3.416
e1-q064-hal,1,3.68
e1-q065-gt,1,2.752
e1-q065-hal,1,2.263
e1-q066-gt,1,2.958
e1-q066-hal,1,2.017
e1-q067-gt,1,3.272
e1-q067-hal,1,2.606
e1-q068-gt,1,3.161
e1-q068-hal,1,1.955
e1-q069-gt,1,3.234
e1-q069-hal,1,4.62
e1-q070-gt,1,3.089
e1-q070-hal,1,2.204
e1-q071-gt,1,4.317
e1-q071-hal,1,3.479
e1-q072-gt,1,4.102
e1-q072-hal,1,3.235
e1-q073-gt,1,2.1
e1-q073-hal,1,2.412
e1-q074-gt,1,3.604
e1-q074-hal,1,4.344
e1-q075-gt,1,0.973
e1-q075-hal,1,0.946
e1-q076-gt,1,1.829
e1-q076-hal,1,1.803
e1-q077-gt,1,4.67
e1-q077-hal,1,3.12
e1-q078-gt,1,2.912
e1-q078-hal,1,4.526
e1-q079-gt,1,3.171
e1-q079-hal,1,3.06
e1-q080-gt,1,3.261
e1-q080-hal,1,2.503
e1-q081-gt,1,2.56
e1-q081-hal,1,2.094
e1-q082-gt,1,2.811
e1-q082-hal,1,2.308
e1-q083-gt,1,2.929
e1-q083-hal,1,2.014
e1-q084-gt,1,1.494
e1-q084-hal,1,2.137
e1-q085-gt,1,2.497
e1-q085-hal,1,1.448
e1-q086-gt,1,4.123
e1-q086-hal,1,3.029
e1-q087-gt,1,2.899
e1-q087-hal,1,2.452
e1-q088-gt,1,2.901
e1-q088-hal,1,2.415
e1-q089-gt,1,2.962
e1-q089-hal,1,2.355
e1-q090-gt,1,3.274
e1-q090-hal,1,2.939
e1-q091-gt,1,2.253
e1-q091-hal,1,2.086
e1-q092-gt,1,1.937
e1-q092-hal,1,1.685
e1-q093-gt,1,3.017
e1-q093-hal,1,2.487
e1-q094-gt,1,2.209
e1-q094-hal,1,1.783
e1-q095-gt,1,3.249
e1-q095-hal,1,3.939
e1-q096-gt,1,3.071
e1-q096-hal,1,2.298
e1-q097-gt,1,2.682
e1-q097-hal,1,2.269
e1-q098-gt,1,3.038
e1-q098-hal,1,2.489
e1-q099-gt,1,2.704
e1-q099-hal,1,2.72
e1-q100-gt,1,3.165
e1-q100-hal,1,2.43
e1-q101-gt,1,2.995
e1-q101-hal,1,2.252
e1-q102-gt,1,2.463
e1-q102-hal,1,2.209
e1-q103-gt,1,3.819
e1-q103-hal,1,3.104
e1-q104-gt,1,2.05
e1-q104-hal,1,2.276
e1-q105-gt,1,1.329
e1-q105-hal,1,1.367
e1-q106-gt,1,3.112
e1-q106-hal,1,2.621
e1-q107-gt,1,1.649
e1-q107-hal,1,1.445
e1-q108-gt,1,2.906
e1-q108-hal,1,2.656
e1-q109-gt,1,1.263
e1-q109-hal,1,1.365
e1-q110-gt,1,4.394
e1-q110-hal,1,2.87
e1-q111-gt,1,2.972
e1-q111-hal,1,2.489
e1-q112-gt,1,2.875
e1-q112-hal,1,2.249
e1-q113-gt,1,2.44
e1-q113-hal,1,1.643
e1-q114-gt,1,2.616
e1-q114-hal,1,2.331
e1-q115-gt,1,2.678
e1-q115-hal,1,2.804
e1-q116-gt,1,4.052
e1-q116-hal,1,3.015
e1-q117-gt,1,2.43
e1-q117-hal,1,1.667
e1-q118-gt,1,3.115
e1-q118-hal,1,2.174
e1-q119-gt,1,1.639
